Neighborhood,Total Population,Asian,Black/African American,White,Native American Indian,Native Hawaiian/Pacific Islander,Other/Two or More Races,% Latino (of Any Race),Median Household Income
Bayview Hunters Point,37600,36,28,14,0.3,2,19,22,55750
Bernal Heights,26140,17,5,57,1,0.1,21,29,106914
Castro/Upper Market,21090,12,3,78,0.4,0.4,7,8,127273
Chinatown,14820,81,1,14,0.4,n/a,4,4,21219
Excelsior,39340,48,2,28,1,0.4,20,33,72473
Financial District/South Beach,17460,36,2,54,0.2,0.2,8,9,136864
Glen Park,8210,15,6,70,0.3,0,9,13,121535
Golden Gate Park,90,n/a,n/a,94,0,0,6,0,119444
Haight Ashbury,18050,9,3,80,0.3,0.1,8,8,130616
Hayes Valley,18250,14,9,67,0.5,0.1,9,11,98068
Inner Richmond,22500,36,2,54,0.1,0.4,8,9,87801
Inner Sunset,29120,33,2,56,0.2,0.1,9,9,108966
Japantown,3650,35,3,57,0,0,5,9,58414
Lakeshore,14300,30,6,46,0.2,0.2,17,19,42585
Lincoln Park,320,27,10,56,0,n/a,7,5,150000
Lone Mountain/USF,18070,22,6,62,0.1,1,9,12,100907
Marina,25110,10,1,83,0.2,0.1,5,7,132186
McLaren Park,850,48,22,6,0,13,11,9,16404
Mission,58640,14,3,57,1,0.2,25,39,83234
Mission Bay,10530,41,7,42,1,0,10,12,111897
Nob Hill,22300,34,3,55,0.1,0,8,9,74500
Noe Valley,18650,13,1,78,0.4,0.3,7,9,136423
North Beach,12600,40,2,51,0,0,8,9,78281
Oceanview/Merced/Ingleside,28010,54,12,20,0.3,0.1,13,15,72274
Outer Mission,24270,54,1,24,0.3,0.3,21,29,85531
Outer Richmond,44870,46,2,44,0.1,0.3,7,7,77465
Pacific Heights,24070,18,3,74,0.1,0.2,5,7,121643
Portola,16410,55,5,22,0.4,0.2,18,26,77053
Potrero Hill,13770,16,6,64,0.2,0.5,13,14,155083
Presidio,3830,6,0.3,88,0,0,6,9,179537
Presidio Heights,10720,21,2,69,0.01,1,7,6,124668
Russian Hill,17830,28,1,67,n/a,0.1,5,6,110819
Seacliff,2460,17,1,76,n/a,n/a,6,5,180000
South of Market,19180,39,11,38,0.1,0.2,11,12,43466
Sunset/Parkside,81050,57,1,35,0.1,0.2,7,6,89402
Tenderloin,28220,31,10,43,1,0.4,15,23,23513
Treasure Island,3090,15,20,34,2,2,27,32,48971
Twin Peaks,7410,19,4,64,0.2,0.3,13,16,97624
Visitacion Valley,18570,55,11,12,0.4,2,20,25,54745
West of Twin Peaks,38180,34,3,54,0.2,0.3,9,10,135614
Western Addition,22220,27,21,43,1,0.2,8,8,61996
