Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bayview Hunters Point,37.73431000000005,-122.37942999999996,TATO,37.736315000000005,-122.390498,Mexican Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Radio Africa & Kitchen,37.734825771576745,-122.39076385408828,African Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,All Good Pizza,37.73874409736493,-122.38977392552275,Pizza Place
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Krispy Krunchy Fried Chicken,37.7367439,-122.3896784,Fried Chicken Joint
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Craftsman and Wolves Den,37.72690804644706,-122.391535734959,Bakery
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Las Isletas,37.73707171666667,-122.390221,Latin American Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Old Skool Cafe,37.734287466157845,-122.39046194443416,Southern / Soul Food Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Fox and Lion Bakery,37.73274681119,-122.39224481212936,Bakery
Bayview Hunters Point,37.73431000000005,-122.37942999999996,La Laguna Taqueria,37.74175423628806,-122.38820414972388,Mexican Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,JJ Fish & Chicken,37.7322674,-122.3918895,Southern / Soul Food Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Auntie April's Chicken & Waffles,37.73611508884312,-122.39046651543963,Southern / Soul Food Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Subway,37.74166114123338,-122.38736412150085,Sandwich Place
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Huli Huli Hawaiian Grill,37.740298081516364,-122.38902355609422,Hawaiian Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Frisco Fried,37.73106424697719,-122.39208914289362,Southern / Soul Food Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Soo Fong,37.741984480542584,-122.3870815930533,Chinese Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,El Azteca Taqueria,37.729420353719235,-122.39283072834816,Mexican Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,RoadHouse Coffee Co,37.73091671343964,-122.39200525308166,Café
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Tacos Rodriguez,37.74017239578858,-122.38249141544108,Food Truck
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Lees Market,37.729283,-122.3865,Deli / Bodega
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Crêpe & Brioche Inc.,37.72568493252439,-122.37936973571776,Restaurant
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Herba Enterprise,37.725947,-122.382665,Food
Bayview Hunters Point,37.73431000000005,-122.37942999999996,Peking Wok Restaurant,37.733740026512294,-122.39113287094764,Chinese Restaurant
